miRNA_Name,k-mer_vector_1,k-mer_vector_2,k-mer_vector_3,k-mer_vector_4,k-mer_vector_5,k-mer_vector_6,k-mer_vector_7,k-mer_vector_8,k-mer_vector_9,k-mer_vector_10,k-mer_vector_11,k-mer_vector_12,k-mer_vector_13,k-mer_vector_14,k-mer_vector_15,k-mer_vector_16,k-mer_vector_17,k-mer_vector_18,k-mer_vector_19,k-mer_vector_20,k-mer_vector_21,k-mer_vector_22,k-mer_vector_23,k-mer_vector_24,k-mer_vector_25,k-mer_vector_26,k-mer_vector_27,k-mer_vector_28,k-mer_vector_29,k-mer_vector_30,k-mer_vector_31,k-mer_vector_32,k-mer_vector_33,k-mer_vector_34,k-mer_vector_35,k-mer_vector_36,k-mer_vector_37,k-mer_vector_38,k-mer_vector_39,k-mer_vector_40,k-mer_vector_41,k-mer_vector_42,k-mer_vector_43,k-mer_vector_44,k-mer_vector_45,k-mer_vector_46,k-mer_vector_47,k-mer_vector_48,k-mer_vector_49,k-mer_vector_50,k-mer_vector_51,k-mer_vector_52,k-mer_vector_53,k-mer_vector_54,k-mer_vector_55,k-mer_vector_56,k-mer_vector_57,k-mer_vector_58,k-mer_vector_59,k-mer_vector_60,k-mer_vector_61,k-mer_vector_62,k-mer_vector_63,k-mer_vector_64
10,0,0,0,0,0.052631579,0,0,0.052631579,0,0,0.052631579,0,0,0,0,0,0,0.052631579,0.052631579,0,0.052631579,0,0,0.052631579,0,0,0,0,0,0,0.105263158,0.052631579,0,0,0,0,0,0.105263158,0,0,0,0.052631579,0,0,0.052631579,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0.105263158,0,0.052631579,0,0,0.052631579,0
11,0,0,0,0,0.05,0,0,0,0,0,0.05,0.15,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0.15,0,0,0.1,0,0.05,0.1,0,0,0,0,0,0.05,0,0,0.05,0,0,0.05,0.05
12,0,0,0.05,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0.05,0,0,0.05,0,0.1,0.05,0,0,0,0,0.05,0.05,0.05,0.1,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.15,0,0,0,0,0.05,0
13,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0,0.05,0,0,0,0.05,0.1,0,0.05,0.1,0,0,0.1,0,0,0,0,0,0.05,0.05,0,0.1,0,0,0.05,0.05
14,0.05,0,0.1,0.05,0,0,0,0,0.05,0,0,0.05,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.05,0,0,0,0.15,0,0,0,0.05,0,0,0.1,0,0,0,0,0,0,0.05,0.1,0,0,0,0
15,0,0.1,0,0,0,0.05,0,0.05,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0.1,0,0.05,0,0,0.05,0,0,0,0.05,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0.05,0,0,0.05,0
16,0,0.052631579,0,0,0.052631579,0,0,0.105263158,0,0,0,0.052631579,0.052631579,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0.105263158,0,0.052631579,0,0,0.052631579,0,0,0,0,0,0,0,0,0.052631579,0,0.052631579,0,0.052631579,0.105263158,0,0,0,0,0,0,0.105263158,0,0,0.052631579,0,0,0,0
17,0,0,0,0,0.047619048,0,0,0,0,0.047619048,0,0.047619048,0,0,0,0,0,0,0.047619048,0,0,0,0,0.047619048,0,0,0,0,0,0,0.047619048,0.142857143,0,0,0,0,0,0.047619048,0,0.095238095,0,0,0,0,0,0,0.047619048,0,0,0.047619048,0,0,0,0,0,0.047619048,0,0.095238095,0,0,0.047619048,0.047619048,0.047619048,0.047619048
18,0,0,0,0,0.047619048,0,0,0,0,0.095238095,0.047619048,0,0,0,0.047619048,0.047619048,0,0,0.095238095,0.047619048,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0.095238095,0,0,0.047619048,0,0.047619048,0.047619048,0,0.047619048,0,0,0,0,0.047619048,0,0.047619048,0,0,0,0,0.047619048,0,0,0.047619048,0,0,0.047619048,0
19,0.047619048,0,0,0.047619048,0,0,0,0.047619048,0.047619048,0,0,0,0,0,0.047619048,0,0.047619048,0,0.047619048,0,0,0,0,0.047619048,0,0,0,0,0,0.095238095,0.047619048,0,0,0.047619048,0,0,0,0,0,0.047619048,0,0,0,0.047619048,0,0,0.047619048,0,0,0,0,0,0.095238095,0.047619048,0,0,0,0.047619048,0.047619048,0.047619048,0,0,0,0
20,0.095238095,0,0.047619048,0,0.047619048,0,0,0,0,0,0.047619048,0.095238095,0,0,0,0,0,0,0.095238095,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0.047619048,0,0,0.047619048,0,0,0,0.047619048,0.047619048,0,0.095238095,0,0,0.047619048,0.047619048,0,0,0,0,0,0,0.095238095,0,0,0.047619048,0,0,0
21,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0.1,0.05,0,0,0,0,0.05,0,0,0.05,0,0,0.05,0.05,0.05,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0.1,0.05,0.05,0,0,0.05,0
22,0.052631579,0,0.052631579,0,0.052631579,0,0,0,0.052631579,0,0,0.105263158,0,0,0,0,0,0,0.105263158,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0.052631579,0,0.052631579,0.052631579,0,0,0.052631579,0,0,0,0,0,0,0.105263158,0,0.052631579,0,0,0,0,0,0,0,0.052631579,0.105263158,0,0,0,0,0,0
23,0,0,0,0,0.047619048,0,0,0,0,0.095238095,0.047619048,0,0,0.047619048,0,0.047619048,0,0,0.095238095,0.047619048,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0.095238095,0,0,0.047619048,0,0.047619048,0.047619048,0,0.047619048,0,0,0,0,0.047619048,0,0.047619048,0.047619048,0,0,0,0,0,0,0.047619048,0,0,0.047619048,0
24,0.05,0,0,0.1,0,0,0,0,0,0,0.05,0,0.05,0.05,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0,0.1,0,0.05,0,0,0,0,0,0.05,0.05,0,0,0.05,0.05,0,0,0,0,0,0.05,0,0
25,0,0,0,0.047619048,0,0.047619048,0,0,0.047619048,0,0,0,0,0.047619048,0,0.047619048,0,0,0,0,0,0.047619048,0.047619048,0.047619048,0.047619048,0,0,0,0,0,0.047619048,0,0.047619048,0,0,0.047619048,0,0,0,0,0,0,0,0,0.047619048,0,0.047619048,0,0,0.047619048,0.047619048,0,0,0.047619048,0,0,0,0,0,0.095238095,0,0,0.047619048,0.047619048
26,0,0,0,0.05,0.05,0,0,0,0.05,0,0.05,0,0,0,0,0.1,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0.05,0,0,0.1,0,0,0,0,0.05,0,0.1,0,0,0,0,0,0,0,0.05,0,0,0,0.05,0.05,0,0,0,0,0,0.1,0,0
27,0,0.047619048,0,0.047619048,0,0.095238095,0,0,0.047619048,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0.047619048,0.047619048,0.047619048,0.047619048,0,0,0,0,0,0.047619048,0,0.095238095,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0.047619048,0,0,0.047619048,0.047619048,0,0,0,0,0,0,0,0,0.095238095,0,0,0.047619048,0.047619048
28,0,0,0,0,0,0.052631579,0,0,0,0.052631579,0,0,0,0,0,0,0,0.052631579,0,0,0.052631579,0.052631579,0.210526316,0,0.052631579,0.105263158,0,0.052631579,0,0,0,0,0,0,0.052631579,0,0,0.157894737,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0.105263158,0,0,0.052631579,0,0,0.052631579,0,0,0,0.052631579,0,0,0.052631579,0,0.052631579,0,0,0,0,0,0,0,0,0.052631579,0,0,0.052631579,0,0.052631579,0,0,0,0,0,0,0.052631579,0,0,0.052631579,0,0.052631579,0,0,0,0.052631579,0.052631579,0,0,0,0,0.105263158,0,0,0.052631579,0,0,0.052631579,0,0
30,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.05,0,0,0,0.05,0.05,0,0,0.1,0,0,0,0,0,0.1,0.1,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0.1,0,0,0,0,0.05,0,0
31,0,0,0,0,0,0,0,0,0,0.052631579,0,0.052631579,0,0,0,0,0,0,0.105263158,0,0.052631579,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0.052631579,0,0.052631579,0.052631579,0,0.052631579,0.052631579,0,0.157894737,0,0,0,0.105263158,0,0,0,0,0,0,0,0,0,0,0.105263158,0.052631579,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0.052631579,0.052631579,0,0,0.052631579,0,0,0,0.052631579,0,0.052631579,0.052631579,0,0,0,0,0,0,0.052631579,0,0,0,0.052631579,0,0.052631579,0,0.052631579,0.052631579,0,0,0,0,0.052631579,0,0.052631579,0.052631579,0.052631579,0,0,0.105263158,0,0.052631579,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0.157894737,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0.105263158,0,0.052631579,0,0,0.052631579,0.105263158,0.105263158,0.210526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105263158,0,0,0,0,0
34,0,0,0,0.05,0.05,0,0,0,0,0,0,0.05,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0.05,0,0,0.05,0,0,0.15,0.05,0,0,0,0,0,0,0,0,0.05,0,0.1,0.1,0,0,0.05,0.05
35,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0.052631579,0,0.052631579,0.105263158,0,0.157894737,0,0,0,0,0,0.263157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0.105263158,0,0.105263158,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0.058823529,0,0,0.117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0,0.058823529,0,0,0,0.058823529,0.117647059,0,0,0,0,0,0.117647059,0,0.058823529,0.058823529,0,0,0.117647059,0,0,0,0,0,0,0,0.058823529,0,0.058823529,0,0.058823529,0,0,0,0,0
37,0,0,0,0,0,0,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0.05,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.05,0.25,0.05,0.05,0,0.1,0,0,0.05,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
38,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0.05,0,0.05,0.1,0,0.1,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0.05,0,0.05,0.05,0,0,0,0,0,0.1,0,0.05,0,0
39,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0.083333333,0,0,0,0.041666667,0.041666667,0,0,0,0.041666667,0,0,0,0,0,0,0.041666667,0,0,0,0.041666667,0.041666667,0.083333333,0.041666667,0,0,0.041666667,0.083333333,0.125,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0.041666667,0.041666667,0.083333333,0,0,0,0,0
40,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0.055555556,0,0.111111111,0.166666667,0,0.055555556,0,0,0,0.055555556,0,0,0,0.055555556,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0.055555556,0,0,0,0.055555556,0,0,0,0.055555556,0,0.111111111
41,0,0,0,0,0.055555556,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0.222222222,0,0.111111111,0,0.055555556,0,0,0,0.055555556,0.055555556,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0.055555556,0,0,0.055555556,0,0,0,0,0,0
42,0,0,0,0,0.047619048,0.047619048,0,0.047619048,0,0,0,0,0,0,0,0,0,0.142857143,0.047619048,0,0.095238095,0.095238095,0,0.047619048,0,0,0,0,0,0.142857143,0.047619048,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0.047619048,0,0.047619048,0,0.047619048,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0.055555556,0,0,0.111111111,0.055555556,0.111111111,0,0.055555556,0,0,0,0.055555556,0.055555556,0,0,0,0.055555556,0,0.055555556,0.055555556,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0.111111111,0,0,0.055555556,0,0,0.055555556,0,0,0,0
44,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.15,0.15,0,0.05,0,0,0.05,0,0,0,0.05,0,0,0.05,0,0,0,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0.1,0,0.1,0,0,0,0,0,0.15,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.1,0,0.15,0,0,0,0.05,0,0.05,0.05,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0.052631579,0.157894737,0.052631579,0.052631579,0,0,0,0.052631579,0,0.052631579,0.052631579,0.052631579,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0.157894737,0,0.052631579,0,0.052631579,0,0,0,0.052631579,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0.055555556,0,0,0,0.055555556,0,0.055555556,0.111111111,0.055555556,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0.055555556,0.055555556,0.111111111,0,0.055555556,0,0.055555556,0,0.055555556,0,0
48,0,0,0.05,0.05,0,0,0.05,0,0,0,0.05,0,0,0,0.05,0,0.05,0.05,0,0,0.05,0,0,0,0,0.05,0.05,0,0,0,0,0,0.05,0,0,0,0.05,0.05,0.05,0,0,0.05,0,0.05,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0
49,0,0,0.041666667,0,0,0,0,0,0.041666667,0,0,0.083333333,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0.041666667,0,0,0,0,0,0,0,0.083333333,0.083333333,0,0,0.125,0,0,0.041666667,0.041666667,0,0,0,0,0.041666667,0,0.083333333,0.041666667,0,0,0.083333333,0.041666667
50,0,0,0,0.058823529,0,0,0,0,0,0.058823529,0.058823529,0,0,0,0.058823529,0.058823529,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0.058823529,0.058823529,0,0,0,0.117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647059,0,0,0,0.058823529,0.176470588
51,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.15,0,0,0,0.05,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.1,0,0.05,0,0,0,0,0,0.1,0.05,0,0,0,0,0,0,0.05,0,0
52,0.04,0,0.04,0,0,0.04,0,0.04,0,0.04,0,0,0.04,0,0,0,0,0.04,0,0,0,0,0,0.04,0,0,0,0,0.04,0,0.04,0.08,0,0,0,0,0.04,0,0,0.04,0,0,0,0,0.04,0,0.04,0,0.08,0,0,0.04,0,0,0,0.04,0,0.04,0,0.08,0,0.04,0.04,0
53,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.1,0,0.05,0,0,0,0,0,0.15,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.05,0,0,0,0,0,0.15,0,0
54,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0.052631579,0,0,0.052631579,0,0,0,0.052631579,0.052631579,0,0,0,0.052631579,0,0.052631579,0,0.052631579,0.052631579,0.052631579,0,0.052631579,0,0,0.105263158,0,0,0,0,0,0,0,0,0,0,0.052631579,0.105263158,0.052631579,0,0,0,0.052631579
55,0.052631579,0,0.052631579,0,0,0,0,0.052631579,0,0.052631579,0.052631579,0,0,0,0,0,0.052631579,0,0,0,0.052631579,0,0,0,0,0.052631579,0,0,0.052631579,0.052631579,0.052631579,0,0,0,0,0,0,0.052631579,0.052631579,0.105263158,0,0.052631579,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0.052631579,0,0.052631579,0,0,0,0,0,0
56,0.05,0,0.05,0.1,0,0,0,0,0.05,0,0.05,0,0,0,0,0.15,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0.05,0.05,0.05,0.05
57,0,0,0.105263158,0,0,0,0,0,0.210526316,0.052631579,0,0,0,0.052631579,0,0,0,0,0.052631579,0,0,0,0,0.052631579,0,0,0,0,0,0,0.052631579,0,0.105263158,0,0.052631579,0.052631579,0.052631579,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0.052631579,0,0,0,0,0,0
58,0.095238095,0,0.095238095,0,0,0,0,0,0.095238095,0.047619048,0.047619048,0.047619048,0,0,0.047619048,0.047619048,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0.047619048,0.095238095,0.047619048,0,0,0,0.047619048,0,0,0,0.047619048,0,0,0,0,0,0.047619048,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0
59,0.1,0,0.1,0,0,0,0,0,0.05,0.05,0,0.05,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.05,0,0.05,0.05,0.05,0,0,0,0.05,0,0,0.05,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0
60,0,0,0,0,0,0,0,0.1,0,0.05,0.05,0,0,0,0,0.05,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0.05,0.05,0,0.05,0,0.05,0,0,0.05,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0.05,0.05,0,0,0,0,0.05,0.05,0
61,0,0,0,0.052631579,0,0.052631579,0,0,0,0,0,0.052631579,0,0,0.105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0.052631579,0.052631579,0,0.052631579,0,0,0,0,0,0,0.052631579,0.052631579,0,0,0.052631579,0.052631579,0,0,0,0,0,0,0,0.052631579,0.157894737,0,0.052631579,0,0,0.052631579,0,0
62,0,0,0,0,0.05,0,0,0,0,0.05,0.1,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.1,0,0,0.05,0,0,0.05,0,0.05,0.1,0,0,0.05,0.05,0,0,0,0,0,0,0,0.05,0.05,0,0.05,0,0,0.05,0.05,0
63,0,0.045454545,0,0,0,0.090909091,0,0,0.045454545,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0.136363636,0,0,0,0,0,0,0.090909091,0.045454545,0,0.045454545,0.045454545,0,0,0,0,0,0,0,0,0,0,0,0.045454545,0,0.045454545,0,0,0,0,0.045454545,0,0,0.090909091,0,0,0.045454545,0.045454545,0,0,0.045454545
64,0,0,0,0,0,0,0.05,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0.05,0,0,0.05,0,0,0,0,0.1,0.05,0.05,0.1,0.05,0,0,0,0.05,0,0,0.05,0,0,0,0,0.05,0,0,0.05,0,0.05,0,0.05,0
65,0,0,0.05,0,0.05,0,0,0,0,0,0.05,0.05,0,0,0,0,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0.05,0,0,0,0,0,0.05,0.05,0.05,0.05,0,0,0.05,0,0,0,0,0,0,0.1,0,0,0.05,0,0,0.05,0,0,0,0.05,0
66,0,0.05,0,0,0,0.05,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0.05,0,0.05,0.05,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0.05,0,0,0.1,0,0,0.05,0,0,0.05,0
67,0,0,0,0.1,0,0.05,0,0,0,0,0,0.05,0.05,0,0.05,0,0,0,0,0,0,0,0.05,0,0,0,0,0.1,0,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0,0,0.1,0,0.05,0,0.1,0.05,0,0,0,0,0.05,0,0.05,0.05,0,0,0,0,0,0
68,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0.0625,0,0,0,0.125,0,0,0.1875,0.0625,0,0.0625,0,0,0,0,0,0.0625,0.0625,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.0625,0,0.0625,0,0,0,0,0,0
69,0,0,0,0,0,0.117647059,0,0.058823529,0,0,0,0,0,0.058823529,0,0,0,0.176470588,0,0.058823529,0.235294118,0.058823529,0,0,0,0,0,0,0,0,0.058823529,0,0,0,0,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0,0,0.058823529,0,0,0,0,0,0
70,0,0,0.058823529,0,0,0,0,0,0,0,0.058823529,0,0.058823529,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647059,0,0,0,0.058823529,0,0,0,0.117647059,0.058823529,0.117647059,0,0,0,0,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0.117647059,0,0,0,0.058823529,0.058823529
71,0,0,0.05,0.05,0,0,0,0,0.05,0,0.05,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.05,0,0,0,0,0.05,0,0.05,0.05,0.05,0,0.05,0,0,0,0.05,0,0,0,0,0,0.05,0,0.05,0.05,0,0,0.05,0.05
